,Sentence,Inhibitors,Promoters
14,"auf isolationspraparaten, mag man dieselben <lurch zerzupfen frischer rlickenmarksstlickchen oder nach einlegen derselben in verdtinnten losungen von doppelt chromsaurem kali oder ueber­ osmiumsaure hergestellt haben, erkennt man, dass die kerne einen schmalen, homogenen, glanzenden und stark lichtbrechenden rand­ saum besitzen, wahrend ihr lnneres leicht granulirt  erscheint,  wo­ bei 3-4-5 grobere granula starker hervortreten (vergl.",mag (inhibitor) ,
15,"alkohol ferner, mag man denselben in mehr oder weniger diluirtem zustand anwenden, hat stets zur folge, dass sich die  zwiscbensubstanz  in dei· zuletzt bcschriebenen form dem beobachter prasentirt.",mag (inhibitor) ,
16,"es mag gestattet sein, an dieser  stelle  mit  wenigen  worten der angaben zu gedenken, welche liber die beziehungen des zellen­ kerns und kernkorperchens zu den ans der entwickelten nerven­ zelle ausstrahlenden fortsatzen gemacht worden sind.",mag (inhibitor) ,
17,"um diese behauptung zu erweisen, mag die saure carminliisuug nach schweigger als reagens  dienen.",mag (inhibitor) ,
18,"die sehr mannichfachen entwickelungs­ formen !assen sich in ihren verschiedenen abstufungen kaum mit wenigen worten schildern, und es mag daher fig.",mag (inhibitor) ,
19,"1) in another  place  (p.  410)  rawj.tz  also  says:  »die  phy­ siologie mag sich strauben, so vie!",mag (inhibitor) ,
20,spongioplasmic fibres sim lar to those surrounding the process­,lar (inhibitor) ,
21,accom­ panying and succeeding this there was a very quick and irregu­ lar action of the heart.,lar (inhibitor) ,
22,"lai\ge   r ect a>; (; u lar   c e ll      of    t il l•:    co1u·us   stju  ,\  tl   l i\l 	60",lar (inhibitor) ,
23,serratus mag triceps,mag (inhibitor) ,
24,"respiration		was irregu lar ( 20    30  per minute )	temperature ,	]				was con",lar (inhibitor) ,
25,"paralytic  squint;	of localization in paralyses of lar  muscles,  90;  mnemonics  for   diagnosing   the  paralyzed  muscle; lar   palsies   with   otitis;  anatomical     basis,	paralysis in",lar (inhibitor) ,
26,"the most serious ocu lar lesion appears to be an interstitial keratitis, caused by the proliferation of the parasite in the interlamellar spaces of the cornea.",lar (inhibitor) ,
27,"in organic hemiplegia  of  children  a  weakening  of the  muscu lar power of the  two  eyes  can  be  demonstrated,  but  there  is, in general, no difference between homologous muscles.",lar (inhibitor) ,
28,they also tried  the  opsonic dex for the staphylococcus in 7  cases  ;  5  from  their  phlyctenu lar  series  and  2  from the other  series.,lar (inhibitor) ,
29,"not  the least  interesting		of their conclusions is the one which they reach  in  regard  to  the  production  of  the  intraocu lar fluid and the experimental  proof  that  filtration,  that  is  to say, the absorption of intraocular fluids, when the intraocular tension   is  high, is facilitated	by contraction	of the	and hindered   by  dilation   of the pupil,	as we observe clini",lar (inhibitor) ,
30,a simi lar  case   is  recorded  by  bornemann	(munch.,lar (inhibitor) ,
31,surface   undergoes   degenerative  changes  of		and cellu lar layers.,lar (inhibitor) ,
32,"we  had  to  deal  with  a  tumor  causing   vertigo and  incoordination  of the	variety, a  type  of  cerebel lar arteriosclerosis.",lar (inhibitor) ,
33,"these are	monocular;	tumors produce ocu lar motor disturbances and displacements of the eyeball,",lar (inhibitor) ,
34,auto intoxication in diabetes  may  affect  it  in  a  manner  simi lar to that just described.,lar (inhibitor) ,
35,"dr.  william  w.  graves,	st.   louis:  i can		agree with dr. camp in  the  idea  that  the  variability  in  symptoms which  seems  to  have  been  the  main  point  leading  him  to  sus pect  a  hysterical  condition   in  his  patient,   could  be   accounted for   only   on   a  hysterical   basis.",,camp (promoter) 
36,"c. e. beevor:28 ""the muscles of the  trunk  become  affected, causing the patient to rock about while standing up, and the respiratory muscles may act irregularly.""",rock (inhibitor) ,
37,the swelling of the disc is now  about 4  d.;		no paralysis  of  any  external  ocu lar  muscles  exists;   very  curious   symmetrical   defects   are  seen in  the  nasal  field  of each  eye.,lar (inhibitor) ,
38,"helium, however, unlike the radio-active elements, is permanent and accumulates in the mineral ; hence if we measure the amount of helium in a sample of rock and the amount produced by the  sample in one year we can find the length of time the helium has been accumulating, and hence the age of the rock.",rock (inhibitor) ,
39,"e. rock carling, i determined by means of sterilisable electrodes   which  portion  of	the fifth nerve cord was paralysed.",rock (inhibitor) ,
40,"cranial and spinal nerves are  constituted  in  a  simi lar manner, except that some cranial nerves  are  either solely motor, or solely sensory in function, most of them being both sensory and motor, while the spinal nerves without exception are  mixed nerves.",lar (inhibitor) ,
41,"the				it is seen,  is not different	that common to all structures  of  a  simi lar histology, but the results are colored by the fact that structures conveying sensory impressions		involved  in it.",lar (inhibitor) ,
42,"without apparent reason  the  ocu lar  muscles   are   very  rarely  implicated,   and  the  zygomaticus,  the",lar (inhibitor) ,
43,"a piece	branchialectoderm,		the case is		specific, for lar cells have	in other tissue,	in pieces of plate, and			of		kind  have		observed",lar (inhibitor) ,
44,"buildings  placed  upon  the rock so	or upon the summit of the rock  as   now  exists, would  be  in  danger   of  serious   injury  resulting  from  the blasting",rock (inhibitor) ,
45,of the rock upon the property directly south of this tract.,rock (inhibitor) ,
46,establishment of this camp solved the problem   of  the  best  course        pursue   in  preparing	building for reoccupancy.,,camp (promoter) 
47,"in  1908. the  camp  comprises   several   rough log	of rustic design and a number of tents, used  as sleeping   quarters,   accommodating    thirty   beds.",,camp (promoter) 
48,statintil'h    lif  tiil* iilnlttio,,lif (promoter) 
49,"in both	cases the grey  matter  appeared normal,		both	in		the  arrangement	of	the	layers	and	the cellu lar contents.",lar (inhibitor) ,
50,"inflammation it is in the capillaries, where un- in west-end parishes north of  the  thames we will find  doubtedly the endothelium  undergoes  active pro- that 1:-75 per 1000 residents were admitted in the two years, lif era ti on and budding ; the  reason  for  this cannot and  of  these 9 7  per  cent.",,lif (promoter) 
51,"february   5  and 6.   urine""  shows a trace of	a few hyaline and  granu lar casts;  no red blood-cells  or  pus.",lar (inhibitor) ,
52,"by this  procedure  the  appendix  is divided   into  two  triangu lar  areas,  one  separated  from  the  heart  by  the  old  and  new  lines  of  crush,  the other still functionally connected with the heart through the undestroyed isthmus",lar (inhibitor) ,
53,mine is quite free from gases  because   the character  of the  rock  does  not  generate  any per se.,rock (inhibitor) ,
54,the  carotid  arteries  showed  some  irregu lar nodular areas near the bifurcation.,lar (inhibitor) ,
55,"stroebe and schiltte mention, that the genesis of thse granu­ lar cells has been often incorrectly conceived; with predilection, one has declared them leucocytes or so-called wandering cells and has assumed that they arise from the vessels opened at the point of the primary injury to the nerve, move forward along the nerve sheath and then take up at all places the disintegrated myelin.",lar (inhibitor) ,
56,carmine  preparations  were prepared  in a simi­ lar manner but differentiated in weak alcohol without the aiilqlo­ nia.,lar (inhibitor) ,
57,i11  the  same				it is  very true  that					out of  latent				by crystallization is  an  important  factor  in retarding  the				of rock as harker in	very  valuable   work  has  emphasized.,rock (inhibitor) ,
58,"of a rock varies and though a1 is  usually  taken  as constant  in equation d, u	a1   d,2  u, it  is  really not  so.",rock (inhibitor) ,
59,"that  such  a  rock  should be  most			is		when we	how complex the augite molecule is and how, gen erally  speaking,  the  more		the  lower  the melting",rock (inhibitor) ,
60,trate	thermal  differentiation	toward  augite  rather aqueous  differentiation  toward   pegmatite  or  feldspathic  rock  as a last residue.,rock (inhibitor) ,
61,these large border phenocrysts and the rock as a whole  have  an   arrangement parallel  to				the contact.,rock (inhibitor) ,
62,"then, in	zone of slow cooling the rock was for a",rock (inhibitor) ,
63,"war in the camp of the  morphologists  between  anato mists  and  embryologists	has  led  some to exclaim,	plague on both your  houses!”		morphology	is the loser when embryolo gists  and  anatomists	attack  each  other  instead  of morphological",,camp (promoter) 
64,"protoplasmic		are  about  to  be  established   by	simi— lar outﬂow,  before  the  medullary  cells  have  thrown  out  amoe boid  processes,	staining	may be found  which  may be  inferred to be  the  neuroblasts   of that metamere;	their more",lar (inhibitor) ,
65,"sections of squalus embryos give convincing evidence of cellu lar migration,  both from the midbrain and	the mesocephalic into or towards the oculomotor anlage, but it is impos",lar (inhibitor) ,
66,is the  individual  neuraxon  0f  the  abducens  anlage  multicell'u lar in origin or is it the process of  a  single  cell?,lar (inhibitor) ,
67,"during the present  epidemic  among  the  soldiers  in  camp  near paris, in most of the patients,  especially  those  admitted  in  a comatose    state,   the   spinal  fluid  on	puncture was an extremely thick pus.",,camp (promoter) 
68,"namhack, c. f. wilson'* lenticu lar degeneration.",lar (inhibitor) ,
69,"between three and four month s ago the left pupil began to  en lar  ge, though in every other respect he was perfectly well.",lar (inhibitor) ,
70,the nucleus of origin and the  central  course  and  relations  of the motor part of the  nervus facialis of  the  mouse  are  very  simi lar  to those  of  other mammals and man.,lar (inhibitor) ,
71,feet and the 'nervous lar terminal net' of held,lar (inhibitor) ,
72,the  globu lar unipolar cells of the locus coeruleus (loc.c.),lar (inhibitor) ,
73,"e. schulmann and l. pradal‘ give   the  american  neurologist	dana,	credit	for having described  this  syndrome  in		as a symptom of  cerebel lar tumor.",lar (inhibitor) ,
74,during  an epidemic  of						infection at the same camp a large number of cases of the septicemia type without  evidence  of  meningitis	were  detected.,,camp (promoter) 
75,w. w.	as a result of his observation of 265 cases of epidemic meningitis at camp jackson  remarks that  if organisms  are not  found in the  ﬂuid obtained by,,camp (promoter) 
76,"any  emotional		storm		or arousing				of powerful instincts or loosening of the pas sions,  attended  as  they  are by over-production		of glandu lar secretions,  make		heavy demands on the protective",lar (inhibitor) ,
77,recurrent laryngeal nerve:-suturc-direct implantation-etiological factors in recurrent laryngeal paralysis-spinal accessory :'.l.erve:-syndrome of the foramen lacerum-anatomy-coursc-variations-deformity-mechanical treatment-expo­ sure-long thoracic nerve:-anatomy-dcformi ty-1\1cchanical t rea tment- exposure­ suprascapu lar  nerve:-anatomy-deformity-mechanical  treatment- exposure­ anterior crural nerve:-surgical treatment-deformity-mechanical treatment­ obturator nerve:-exposure-deformity-supcrior and inferior gluteal  nervcs:­ exposure.,lar (inhibitor) ,
78,examples   of  unipo lar and bipolar cells are furnished by the,lar (inhibitor) ,
79,low mag nification.,mag (inhibitor) ,
80,"to the right of this, ce b retains the unip lar con-",lar (inhibitor) ,
81,"beyond the violet end of the spectrum, if a rock crystal or quartz  1wis m  be  use d,  extend  the  ultra-violet from   400  to 180  µµ.",rock (inhibitor) ,
82,magitot and bailliart 5 have recently emphasized the fact that the  intraocu­ lar tension depends to a great extent upon the pressure in  the  choroidal veins.,lar (inhibitor) ,
83,"the growth cone advances by a slow irregu­ lar flowing motion, spinning the nerve fiber  behind  it.",lar (inhibitor) ,
84,"epidemics have occurred in rhode island red, new hampshire red, barred plymouth rock, and white ply­ mouth rock flocks.",rock (inhibitor) ,
85,".\ lar <"" hi",lar (inhibitor) ,
86,"she always liked sweets, and in childhood, indulged in huge quantities of  rock sugar.",rock (inhibitor)  rock (inhibitor) ,
87,"in one instance, a dorsal spinal root showed perivascu­ lar lymphocytic in.filtration and proliferation of capillary endothelium.",lar (inhibitor) ,
88,"in each macu­ lar region a hemorrhagic lesion was pres­ ent, apparently in the choroid rather than in the retina.",lar (inhibitor) ,
89,"form  and  relationships.— the  spinal  cord,  or   medulla   spinalis, lies  within  the  vertebral   canal and  extends	the foramen mag num to the level of the inferior border of the body of the first lumbar vertebra.",mag (inhibitor) ,
90,hobcn ulope duncu lar tract,lar (inhibitor) ,
91,"in the		in  the frazier series,  a	increase in the reticu   lar tissue occurred, and in some instances, a deposit of  glial  fibrils after				laidlaw   and perdrau preparations	for connective	tissue   showed   a   more extensive  reticular	formation after			and  they believed  this		be safely attributed to  this  form of therapy.",lar (inhibitor) ,
92,"the  integument	is thin and delicate, and joined to the subjacent  muscles by loose  areo lar  tissue,  free from fat.",lar (inhibitor) ,
93,"if a mag netizable particle  is  in  the  lens,  an  attempt should  be  made to draw it into the anterior chamber by means of the giant magnet;  if this		the foreign body is  removed  with the small magnet as  described  above;  it  if fails,  and  where  the  foreign	body is  non-magnetizable,		the  lens  should	be removed  by linear  extraction	in young subjects and by the method	employed	in  senile  cataract,	in  an  older	person.",mag (inhibitor) ,
94,the  cataract	which develops	is  characterized		by		subcapsular	proliferation of epithelium  into a	plaque; this fact makes  intracapsu lar cataract operation ideal for its removal.,lar (inhibitor) ,
95,are both in a plane perpendicu lar   to   the   reflecting surface.,lar (inhibitor) ,
96,anomalies  of  the  anterior  inferior cerebel lar artery.,lar (inhibitor) ,
97,"of motor  function	by slowing  and en feeblement of emotional and voluntary movement with muscu lar  rigidity,  and  tremor, not  necessarily	as in paralysis agitans (page",lar (inhibitor) ,
98,"in	the  meningo-encephalitic		in	children, degeneration  of  the  ganglion   cells,  perivascular  and lar  edema		and	collections	of  glial	cells focally noted.",lar (inhibitor) ,
99,here the axonal membrane is exposed to the extracellu­ lar environment only at the gaps called the nodes of ranvier.,lar (inhibitor) ,
100,"""actually we heat the rock - oil shale - to about",rock (inhibitor) ,
101,"the endogenous neutral proteinase degrades mag and bp, but not other myelin proteins.",mag (inhibitor) ,
102,"studies of wolfgram proteins and mag have not been so precise, but they show that these proteins are not uniformly distributed.",mag (inhibitor) ,
103,"this is a matter of some controversy, however, and recent ultrastructural studies show that mag may be uniformly distributed.",mag (inhibitor) ,
104,"myelin is isolated in consistently lower yields from these areas, the myelin enzyme cnp is decreased, mag appears to be lost in areas where bp is present, and hydrolytic enzymes, including acid proteinases, are increased.",mag (inhibitor) ,
105,this st udy further emphasizes that the binocu lar competi­ tion critical for the initi al formation  of the normal visual system does not re­ quire visual experience since it exercises its influence before birth.,lar (inhibitor) ,
106,in fluorographs of labeled extracellu­ lar soluble proteins from intact control pns and cns tissue (fig.,lar (inhibitor) ,
107,"the 37-kd proteins in the pns and cns had an identical molecular weight and isoelectric point of ph 5.4, and their synthesis increased with a simi­ lar time course, which suggests that these proteins are homologous.",lar (inhibitor) ,
108,the lack of accumulation of the protein in the adult mammalian cns may represent one of the critical molecu­ lar differences between pns and cns that limit the ability of central axons in mammals to regenerate.,lar (inhibitor) ,
109,"the culture substrate for most of the experiments was polyornithine (porn, sigma, 0.5 mg/ml in borate buffer, incubated overnight) or polylysine (plys, sigma, 50 µg/ ml in water); in some experiments, a dried collagen film (calf skin collagen, incubation overnight with sterile solution), laminin-coated porn [purified mouse ehs tumor laminin (gift of dr. r. timpl, mu­ nich), 5 µg/ml, incubated for 3 hr on dishes previously coated with porn], or plain tissue culture plastic was used.",,laminin (promoter) 
110,"substrate properties of cns tissue, in particular the absence of potent neurite promoting substrates like laminin in the differentiated cns of higher vertebrates, are important aspects in the context of cns regeneration (liesi, 1985 a; carbonetto et al., 1987).",,laminin (promoter) 
111,bunge (1983) in vivo and in vitro observations on laminin produc­ tion by schwann cells.,,laminin (promoter) 
112,"hopkins, j. m., t. s. ford-holevinski, j. p. mccoy, and b. w. agranoff (1985) laminin and optic nerve regeneration in the goldfish.",,laminin (promoter) 
113,"manthorpe, m., e. engvall, e. ruoslahti, f. m. longo, g. e. davis , and s. varon (1983) laminin promotes neuritic regeneration from cultured peripheral and central neurons.",,laminin (promoter) 
114,this novel factor is a likely  cail!didate  to mediate some of  the  rgc  responses  observed  after  pn  grafting  and there is now evidence for the presence of bdnf in the pns (2a).,bdnf (inhibitor) ,
115,"giftochristos n, david s (1988) laminin and heparan sulfate pro­ teoglycan in the lesioned adult mammalian central nervous system and their possible relationship to axonal sprouting.",,laminin (promoter) 
116,"cohen, a. and schwartz, m., conditioned media of  regener­ ating fish optic nerves modulate laminin levels in glial cells, j. neurosci.",,laminin (promoter) 
117,"zak, n.b., hare!, a., bawnik, y.,  ben-bassat,  s.,  vogel,  z. and schwartz, m., laminin immunoreactive sites are induced by growth-associated triggering factors in injured  rabbit  optic nerve, brain research, 408 (1987) 263-266.",,laminin (promoter) 
118,"in addition, it is known that both ncam (silver and ruthishauser, 1984) and laminin (liesi and risteli, 1989) are found in the regions of neuroepithelial cell end feet, pro­ viding a molecular basis for the close interaction between de­ veloping retinal axons and neuroepithelial cells.",,laminin (promoter) 
119,"liesi p, risteli l (1989) glial cells of mammalian brain produce  a variant form of laminin .",,laminin (promoter) 
120,agranoff (1986) laminin supports neurite outgrowth from explants of axotornized adult rat retinal neurons.,,laminin (promoter) 
121,"fujii, and l.f. reichert (1985) laminin is associated with the ""neurite outgrowth-promoting factors"" found in conditioned media.",,laminin (promoter) 
122,"cohen, a., and m. schwartz (1989) conditioned media of regenerating fish optic nerves modulate laminin levels in glial cells.",,laminin (promoter) 
123,"hare!, y. bawnik, s. ben-bassat, z. vogel, and m. schwartz (1987) laminin immunoreactive sites are induced by growth associated triggering factors in injured rabbit optic nerve.",,laminin (promoter) 
124,"(b) growth cone responding to contact guidance clues from laminin and possibly, fi­ bronectin, which are components of the schwann cell basal lamina.",,laminin (promoter) 
125,"the growth cone plays an essential role in axon guidance and is believed to be capable of respond­ ing to contact guidance clues afforded by laminin and fihronectin, two major glycoprotein compo­ nents of the basal lamina of the schwann cell and other  portions of the extracellular  matrix.",,laminin (promoter) 
126,"membrane including type iv collagen, proteogly­ can, and  entactin.72 laminin  can  be  produced by",,laminin (promoter) 
127,"that to laminin, and fibronectin is unable to exert directional navigation of neurites as laminin  does.7",,laminin (promoter) 
128,although  these  investigators 86 found that laminin enhanced regeneration in the,,laminin (promoter) 
129,"adler r, jerdan j, hewitt at: responses of cultured neural retinal cells to substratum-bound laminin and other extracellular matrix molecules.",,laminin (promoter) 
130,bronectin and laminin in adult rat peripheral nerve and peripheral nerve cells in culture.,,laminin (promoter) 
131,gundersen rw: response of sensory  neurites  and growth cones to patterned substrata of laminin and fi­ bronectin in vitro.,,laminin (promoter) 
132,"1988), it appears that cntf may play an important role in type-2 astrocyte differentiation in vivo.",,cntf (promoter) 
133,"in contrast, dibutyryl camp does",,camp (promoter) 
134,"moreover, dibutyryl camp is itself not  mitogenic for o -2aper   ina.ta 1 progenitors, suggesting that fgf itself is not working solely, if at all, through the camp pathway.",,camp (promoter) 
135,previous studies have demonstrated that the beta (p)-ad renergic neurotransmitter norepinephrine stimula tes camp production in astrocytes (rougon et al.,,camp (promoter) 
136,dnaby direct application of dibutylyl camp or cholera toxin.,,camp (promoter) 
137,"it should be noted that the use of na-chlorate is expected to affect sulfation not only of hspg but also of cspg (35), and therefore, it might affect cspg levels as well.",cspg (inhibitor) ,
138,"ment of cspg in the observed migration, we used an indirect immunohistochemistry which allowed comparison of cspg expression in the various areas of the wounded monolayer.",cspg (inhibitor) ,
139,"using these antibodies, expression of cspg on the cell surface was found to be elevated after treatment with the maximal effective con- centration of migration-promoting factors (fig.",cspg (inhibitor) ,
140,figure 9. cspg immunoreactivity in astrocytes.,cspg (inhibitor) ,
141,"at the end of the follow-up pe- riod (3 d), cells were fixed and stained for cspg immunoreactivity.",cspg (inhibitor) ,
142,"such an indirect mechanism might involve a growth factor-induced production of cell adhesion molecules (56), ecm receptors (integrins and nonintegrins) (57), ecm components (58), ecm components containing egf-like do- mains, e.g., laminin (59), tenascin (60), or thrombospondin (61), or other growth factors (56).",tenascin (inhibitor) ,laminin (promoter) 
143,"for example, tgf- 1 in- creases the synthesis and cell surface expression of integrins by several cell types (62, 63), as well as the expression of cell-sur- face cspg and dermatan sulfate proteoglycan (64, 65) and proteoglycan metabolism (66, 67).",cspg (inhibitor) ,
144,"moreover, cspg levels have been correlated with detachment and migration of cells such as endothelial cells (44–46).",cspg (inhibitor) ,
145,show elevation of cspg levels by the growth promoting fac- tors do not allow a direct correlation between the induced mi- gration and the observed increase of cspg immunoreactivity since prevention of sulfation of the newly synthesized cspg apparently did not block migration.,cspg (inhibitor) ,
146,"in addition it has been shown that myelin-associated glycoprotein (mag) inhibits axon growth24 25 but, unlike the experiments of schwab and of steeves, mag inhibition has only been demon­ strated so far in vitro26• the injured spinal cords of knockout mice that lack mag still cannot regenerate, but they can do, so in the presence of in-1 (ref.",mag (inhibitor) ,
147,"during development and throughout life, glia and axons in cns tracts like the optic nerve communicate actively with each other via their common extracellu­ lar space.",lar (inhibitor) ,
148,"subsequentl,y it was shown that cntf not only addresses a variety of neuronal cell population, but also acts on glial cells (unsicker et al., 1992a; louis et al., 1993).",,cntf (promoter) 
149,"this, taken together with the fact that the in vivo application of cntf or bdnf during ontogenetic motoneuron death does not rescue more than 20-30% of the neurons argues for a multifactorial control of motoneuron devel­ opment (wewetzer et al., 1990; oppenheim et al., 1991, 1992b).",bdnf (inhibitor) ,cntf (promoter) 
150,"this is further confirmed by studies using transgenic mice with a null mutation for bdnf or trkb where no significant motoneuron death was found in bdnf knockouts but approximately 30% motoneuron loss was revealed in trkb knockouts (snider, 1994).",bdnf (inhibitor) ,
151,"from in vitro studies it is known that the combination of fgf-2 and cntf results in a 100% survival of embryonic spinal motoneurons (arakawa et al., 1990).",,cntf (promoter) 
152,"no further increase was observed when both factors were used in combi­ nation (koliatsos et al., 1994) suggesting that bdnf and nt-4/5 are likely to act on the same neuron population.",bdnf (inhibitor) ,
153,"the rescue effect of purified cntf on newborn facial motoneurons after lesion, as shown by sendtner et al.",,cntf (promoter) 
154,"in the adult hypoglossal system the lesion-induced loss of chat-acitvity could be prevented by bdnf but not by cntf or fgf-2 (chiu et al., 1994; grothe and unsicker, 1992).",bdnf (inhibitor) ,cntf (promoter) 
155,"as postulated by korsching (1993), a set of different parameters might define a multidimensional ""neurotrophic state space"", where a particu­ lar cell type possesses particular coordinates.",lar (inhibitor) ,
156,disl inct neurolrophic respons­ es of axotomized motor neurons to bdnf in adull rals.,bdnf (inhibitor) ,
157,novel roles  for neurotrophins are suggested by bdnf and nt-3 mrna expression in developing neurons.,bdnf (inhibitor) ,
158,stimulation of neuron survival by basic fgf and cntf is a direct effect and not mediated by non-neuronal cells: evidence from single cell cultures.,,cntf (promoter) 
159,"polyclonal   rabbit   (dakopatts)   and	monoclonal mouse (sigma)  anti-gfap  antibodies   were  used   at  1: 250  and 1 : 1000 respectively, and polyclonal anti-s 100 (dakopats) at 1 :100 were used as markers for astrocytes; polyclonal rabbit anti-mouse laminin (lam, sigma) at 1 :100 as a marker for the basal laminae of the glia lirnitans externa, blood vessels and schwarm cell-axon units; polyclonal rabbit anti-carbonic anhydrase-ii (caii, prepared by dr n. gregson, umds, guy's campus, london) at 1: 1000 as a marker for oligo­ dendrocytes.",,laminin (promoter) 
160,"both a lam-positive glia limitans externa and vascular basal lamina are present throughout the nerve (g) and at the lesion a dense deposit of laminin is associated with blood vessels, matrix and a glia limitans continuous with that of the glia limitans externa.",,laminin (promoter) 
161,"schwann  cells secrete ngf (rush, 1984; assouline et al., 1987; heumann et al., 1987), fgf (ecclestein et al., 1991), pdgf (eccleston et al., 1990), cntf (stockli et al., 1989; friedman et al., 1992; sendtner et al., 1992) and gdnf (henderson et al., 1994), and it is likely that at least some of these could initiate axon regrowth in the cpn­ grafted rats.",,cntf (promoter) 
162,"lindsay, 1986; reier, 1986; liuzzi & lasek, 1987; mansour et al., 1990; snow et al.,1990), argued that the arrested growth of axons they observed might be explained by inhibition mediated by astrocytes through a physiological stop signal possibly com­ prised of anti-adhesive, secreted and  membrane bound molecules, such as tenascin (lochter et al., 1991) and sulphated proteoglycans (mansour et al., 1990; snow et al., 1990).",tenascin (inhibitor) ,
163,appearance of tenascin and chondroitin sulphate proteo­ glycans after transection and sprouting of adult rat postcommissural fornix.,tenascin (inhibitor) ,
164,"thoenen, h. (1992) enhanced synthesis of brain-derived neurotrophic factor in the lesioned peripheral nerve: different mechanisms  are   responsible  for the  regulation  of bdnf and ngf mrna.",bdnf (inhibitor) ,
165,measurements of the concentration  of  extracellu­ lar calcium showed that it rapidly decreases in the injured spinal cord (771).,lar (inhibitor) ,
166,"therefore, laminin seems to be asso­ ciated mainly with the basal lamina, presumably produced by astrocytes (272; see also ref.",,laminin (promoter) 
167,"5) are still able to grow neurites,  but  the  neurites of the gap-43-depleted drg cells were thinner and less branched than normal on a laminin substrate, and the growth cones were small and largely lacked filopodia.",,laminin (promoter) 
168,"a clear-cut sprouting response was observed, which was signifi­ cantly enhanced by soluble factors secreted from an embryonic spinal cord graft (617), by implanted schwann cells (437), or by an injection of the neuro­ trophin nt-3, but not by bdnf and much less by ngf (614).",bdnf (inhibitor) ,
169,"local injections of neurotrophic factors into the rostral part of the lesioned spinal cord led to a remarkable increase in regenerative sprouting of the cst in response to nt-3, but not in response to bdnf (614).",bdnf (inhibitor) ,
170,both bdnf and ngf are found at lower levels (465).,bdnf (inhibitor) ,
171,"the in situ hybridization results available do not allow a precise cellular localization yet, except for motoneurons that ex­ press trkb and trkc, and also contain mrna for nt-3 and bdnf (214, 6m, 766).",bdnf (inhibitor) ,
172,"increases of fgf and its receptor fig have also been reported in brain lesions (253, 449), as is cntf (354) and transforming growth factor-,8 (tgf-,8) (450).",,cntf (promoter) 
173,"in most of these studies, the cellu­ lar localization of these factors and receptors is still vague; immigrating inflammatory cells could play a major role, both in terms of production and induction.",lar (inhibitor) ,
174,"nerve growth factor showed a weak effect, and bdnf was without effect.",bdnf (inhibitor) ,
175,"survival of axotomized newborn ru­ brospinal neurons by bdnf and nt-3 was reported in recent preliminary reports (172, 698).",bdnf (inhibitor) ,
176,the cntf receptor belongs to a subfamily of cyto­ kine receptors including those for il-6 and leukemia inhib­ itory factor (lif) (353).,,cntf (promoter) 
177,"very recently, a neurite growth inhibitory effect of the myelin-associated glycoprotein mag was demonstrated (485,514).",mag (inhibitor) ,
178,"the in vivo significance of these findings remains to be shown; mag gene-ablated mice are available (435, 506) .",mag (inhibitor) ,
