,Molecule Name,% Inhibitor,% Promoter,% Neither,Total Sentences Found
mosp,"mosp,myelin / oligodendrocyte-specific protein",0.016929423903869662,0.0527979008661717,0.9302726640485273,123
prictor,"prictor,phosphorylated-rictor",0.00042462808050913736,0.9484922736883163,0.051083135418593884,4
vglut2,"vglut2,vesicular glutamate transporter 2",0.0004996939678676426,0.9972335696220398,0.002266759518533945,1
oxldl,"oxldl,oxidized low-density lipoprotein",0.002003816654905677,0.9960236549377441,0.0019724916201084852,2
naa,"naa,n-acetyl aspartate",0.30985852667557384,0.002878051108079186,0.6872634338214993,6
dlk,"dlk,dual leucine zipper-bearing kinase",0.7113705449737608,0.0687383459880948,0.21989109669812024,4
nmag,"nmag,native mag",0.9886153936386108,0.0009021851583383977,0.010482441633939743,1
bhlhe40,"bhlhe40,basic helix-loop-helix family member e40",0.002312902099220082,0.9965584874153137,0.001128585368860513,2
gdp,"gdp,guano- sine diphosphate",0.9950401037931442,0.001220318088599015,0.0037396114494185895,4
bme,"bme,b-mercaptoethanol",0.002424648126179818,0.7469359830465692,0.25063931974727893,4
nrs,"nrs,normal rabbit serum",0.07465684620664044,0.07163008994263821,0.8537130444320999,28
krab,"krab,kruppel-associated box",0.9989874362945557,0.0004278010843942563,0.000584749640741696,3
blys,"blys,b lymphocyte stimu- lator",0.9994109869003296,0.00030488407355733216,0.0002841216919478029,1
rockii,"rockii,rho-associated kinase ii",0.8231337070465088,0.001470267423428595,0.17539602518081665,2
ulip,"ulip,unc-33-like phospho­ protein",0.012927624396979809,0.001467634574510157,0.9856047034263611,1
gap43,"gap43,growth associated protein 43",0.599513172369199,0.29172548100378015,0.10876134259218605,138
pmp22,"pmp22,peripheral myelin protein 22 kda",0.7645432380183289,0.10624934256144722,0.1292074170634199,30
sod1,"sod1,superoxide dismutase 1",0.5012434371747077,0.0009147785458480939,0.4978418473037891,2
ascl1,"ascl1,achaete-scute complex-like 1",0.7791303775145655,0.08149506131023652,0.13937454046502423,13
odn,"odn,oc- todecaneuropeptide",0.3338086344689752,0.6587325242677858,0.0074588053006057935,3
rbpms,"rbpms,rna binding protein with multiple splicing",0.28622320319463096,0.3238557917142508,0.389921004039168,19
ttx,"ttx,tetrodotoxin,tetrodotoxin",0.6063007841722163,0.0679872342512039,0.3257119890425683,17
atf,"atf,activating transcription factor",0.5955249802209437,0.0038080769785058997,0.4006669024626414,3
syt,"syt,synaptotagmins",0.3864419196130863,0.5555913840265324,0.057966712413569134,3
nl1,"nl1,neuroligin-1",0.8571238426322286,0.004108137908836149,0.13876800345447424,11
ecm,"ecm,extracellular matrix",0.3362604560703403,0.3274695835374204,0.3362699627381517,380
plap,"plap,placental alka- line phosphatase",0.5528599619865417,0.4392546220624354,0.007885413942858577,2
vcan,"vcan,versican",0.6597726996322828,0.12340097220814121,0.21682634146002652,7
pp1,"pp1,protein-phos- phatase 1",0.612957816303242,0.37143146111338865,0.015610701317200437,5
cnp,"cnp,2,3,-cyclic nucleotide 3'-phosphodiesterase",0.7433144738842246,0.04410118874373092,0.21258432772066,21
vim,"vim,vimentin",0.6202752069908787,0.35659537329444324,0.023129405201126992,11
pdgfr,"pdgfr,platelet-derived growth factor receptor",0.0007692161212617066,0.383482077869121,0.6157487167045474,5
pfn,"pfn,plasma fibronectin",0.15403008460998535,0.7258148193359375,0.12015506625175476,1
hspgs,"hspgs,heparan sulfate proteoglycans,heparan sulfate proteoglycans,heparan sulfate proteoglycans",0.5300647419958535,0.30824664964089415,0.161688617391184,19
mtor,"mtor,mammalian target of rapamycin,mammalian target of rapamycin",0.46403885928962685,0.4164429144784578,0.11951822447059215,215
ng2,"ng2,neuron-glial antigen 2,neural/glial antigen 2",0.425645769654123,0.22115785858349865,0.3531963696582013,268
edta,"edta,ethylenediaminetetraacetic acid,ethylenedi- aminetetraacetic acid",0.5944669664770897,0.23394626543657587,0.17158677467003663,7
pvdf,"pvdf,polyvinylidene difluoride",0.0017336202661681454,0.4563715677941218,0.5418948079459369,10
hspg,"hspg,heparan sulfate proteoglycans,heparin sulfate proteoglycan",0.31873285745464003,0.6059528281000572,0.07531433063987232,17
mos,"mos,morpholino-modified antisense oligonucleotides,morpholinos",0.648880809984136,0.18348939614612997,0.16762979184592647,60
dlg,"dlg,discs large tumour suppressor gene",0.30482168398739307,0.28627027261973126,0.40890800273045896,10
mngf,"mngf,motor nerve growth factor",0.02263472588310833,0.07996843896398786,0.8973967432975769,2
egfp,"egfp,2a-enhanced green fluorescent protein,aav.egfp-shrna,enhanced green fluorescent protein",0.6540700959355524,0.11381379824834531,0.23211611331094495,54
hdac,"hdac,histone deacetylase,histone deacetylase",0.897775841159455,0.0999766722557979,0.002247490518857376,20
gags,"gags,glycosaminoglycan chains",0.5916768913937267,0.17215004200159456,0.2361730691214325,25
sod,"sod,superoxide dismutase",0.41212386120023436,0.2564311934846046,0.331444974913029,5
civ,"civ,collagen iv",0.15831577445020562,0.8412300361828371,0.00045419490065383303,11
ncam,"ncam,neural cell adhesion molecule,neural cell adhesion molecule",0.6220101810906473,0.26488778118467354,0.11310204659892203,72
socs,"socs,suppressors of cytokine signaling",0.17466744837050405,0.6767434632735482,0.1485890795471884,6
marcks,"marcks,myristoylated alanine-rich c kinase substrate",0.5452061749965651,0.3371051212307066,0.11768870826635976,10
psm,"psm,ptenf/f/socs3f/f with aav2-cre, aav2-cntf and aav2-c-myc",0.10699987411499023,0.8927650451660156,0.00023504091950599104,1
gst,"gst,glutathione s-transferase,glutathione-s-transferase",0.9486173808574676,0.038367493824625856,0.01301511947021936,10
pfa,"pfa,paraformaldehyde,paraformalde- hyde,paraformaldehyde",0.13547944614118831,0.17963590095573131,0.68488465583133,45
cre,"cre,calcium/camp responsive elements",0.6934382433079774,0.16204501167378207,0.14451674217784066,38
corp,"corp,calcitonin gene-related peptide",0.7300067594682332,0.21438337471918203,0.05560989301593509,5
hna,"hna,hu- man nuclear antigen",0.17075431522451345,0.06896894891894387,0.760276734540797,121
ap,"ap,alkaline phosphatase",0.009507050896967198,0.07976026472296278,0.9107326736445478,95
pka,"pka,protein kinase a,protein kinase a,protein kinase a",0.7050671623804626,0.2933686613288718,0.001564174655473123,23
jnk,"jnk,c-jun nh2-terminal kinase,jun aminoterminal kinase 1",0.4879279262996057,0.4105657547673521,0.10150632277959847,21
mu,"mu,methyl- umbelliferyl -d-xyloside",0.036661386141204275,0.08011680508920108,0.8832217973330989,25
hgf,"hgf,hepatocyte growth factor,hepatocyte growth factor alpha chain",0.10602274286342166,0.6728954639103095,0.2210817932101,108
acpase,"acpase,acid phosphatase",0.481034989526961,0.16051464650809066,0.358450352755123,6
bmg,"bmg,beta-2 microglobulin",0.19240312278270721,0.7893996834754944,0.018197154626250267,1
gfra1,"gfra1,gdnf family receptor a1",0.16816987915808568,0.7736822217702866,0.058147895004367456,4
syti,"syti,anti-synaptotagmin i",0.5681056430427512,0.09888331756034556,0.33301103017098893,3
sds,"sds,sodium dodecyl sulfate,sodium dodecyl sulfate",0.2909798209010133,0.2059880766479948,0.5030321108903368,19
lrp1,"lrp1,lipoprotein-related protein 1",0.998611569404602,0.0006053082761354744,0.0007830615504644811,1
iba1,"iba1,anti-ionized calcium binding adapter molecule 1",0.42614603473110557,0.2137687719952997,0.36008519077191264,35
rgma,"rgma,repulsive guidance molecule a",0.3013586719982171,0.6568991223138679,0.04174220711128631,75
psn,"psn,penicillin/streptomycin/neomycin",0.7468764770169871,0.14485166338573466,0.10827186366127692,29
ach3,"ach3,acetylation levels of histone 3",0.9993740916252136,0.0005472621996887028,7.867753447499126e-05,1
phema,"phema,poly(2- hydroxyethyl methacrylate)",0.30083338436735274,0.015381200491295507,0.6837854293860599,9
dmem,"dmem,dulbecco’s modified eagle’s medium",0.14648887717383582,0.44637934571356114,0.4071317771617785,58
creb,"creb,camp response element binding protein,camp response element-binding protein",0.37448116634562933,0.5108219848194056,0.11469684587641026,29
igfs,"igfs,insulin- like growth factors",0.030728648339087766,0.4380433165157835,0.5312280061965188,3
lngfr,"lngfr,low affinity ngf receptor",0.5716090202331543,0.0007114521285984665,0.42767951838322915,2
gsk3,"gsk3,glycogen synthase kinase 3,glycogen synthase kinase-3",0.5922602150264235,0.2709225762573624,0.13681721137982095,24
nsc,"nsc,neural stem cell",0.23251397234696644,0.21505169062377089,0.552434349910786,65
mycert,"mycert,c-mycert fusion protein",0.30951184034347534,0.6865507364273071,0.003937396686524153,1
fgf,"fgf,fibroblasts growth factor,fibroblast growth factor,fibroblast growth factor,fibro- blast growth factor",0.20074490593079694,0.5265233152649192,0.272731783996613,152
atra,"atra,all-trans retinoic acid",0.0008129549096338451,0.0005552879301831126,0.9986317753791809,1
tsc1,"tsc1,tuberous sclerosis 1,tuberous sclerosis complex 1",0.7406744601321407,0.24810696040367475,0.011218579646083526,4
ttn,"ttn,triakontatetraneuropeptide",0.0003458454739302397,0.9993933439254761,0.00026080789393745363,1
pkcα,"pkcα,protein kinase c-α,protein kinase c-α",0.05126608535647392,0.9463197588920593,0.0024141864851117134,2
mapk,"mapk,mitogen activated protein kinase",0.4637774306506015,0.37717750536153444,0.1590450689224687,29
ppc,"ppc,phosphocan",0.08842210574279306,0.00043579997945926153,0.9111420897697099,25
ach,"ach,acetylcholine",0.7559182179363287,0.06489381824127015,0.17918798335278338,17
arhox6,"arhox6,arhox7 (6%",0.5818964242935181,0.04667210578918457,0.3714315593242645,1
vglut1,"vglut1,vesicular glutamate transporter 1",0.6684952080249786,0.30399981036316603,0.027504936850164086,2
apv,"apv,2-amino-5- phosphonovaleric acid",0.49983981212062645,0.0001123584843298886,0.5000478087749798,2
galc,"galc,galactocerobroside,galactocerebroside,galactosylceramidase",0.6327739035590308,0.10037007791635749,0.26685601724668895,11
il1rn,"il1rn,il1 receptor antagonist, decreased",0.9978131055831909,0.0019106492400169373,0.00027614578721113503,1
gga,"gga,geranylgeranylacetate",0.3272612385811623,0.3708356677670963,0.3019031323690962,11
gsk3beta,"gsk3beta,glycogen synthase kinase 3 beta",0.3482534193317406,0.37969905259888037,0.2720475303940475,4
egf,"egf,epidermal growth factor,epidermal  growth  factor,epidermal growth factor,epidermal growth factor",0.21063217543777218,0.6491327579455826,0.1402350621743299,53
msf,"msf,macrophage stimulating factor",0.4393308352975344,0.4208148056231122,0.13985434528016907,11
pp2a,"pp2a,phosphatase 2a",0.8236834557004235,0.0033253250445947438,0.17299121673204354,12
mam,"mam,mephrin, a5, mu’",0.16633434789946477,0.00015045605990356611,0.833515201190797,6
gapdh,"gapdh,glyceraldehyde 3-phosphate dehydrogenase",0.6232654307020008,0.24323760653411833,0.13349695085768568,24
irf5,"irf5,interferon regulatory factor 5,interferon regulatory factor 5",0.6584217809140682,0.20459878981928342,0.1369794246798847,10
emt,"emt,epithelial-mesenchymal transition",0.6737363189458847,0.015834004210773855,0.31042966910172254,2
ei24,"ei24,etoposide-in- duced protein 2.4 homolog",0.9994420409202576,0.00022454762074630708,0.0003333446802571416,1
ritc,"ritc,rhodamine isothiocyanate,rhodamine isothiocyanate,rhodamine-b-isothiocyanate",0.30821572949009185,0.23866783300499347,0.45311642113665584,11
aav2,"aav2,adeno-associated virus serotype-2",0.34574598386555616,0.3325237075046208,0.3217302941986653,31
dspgs,"dspgs,dermatan sulfate proteoglycans",0.9696448743343353,0.027521828684257343,0.002833278034813702,2
pst,"pst,polysialyltransferase",0.2653104539931519,0.04724195558602722,0.6874475867620536,7
rptp,"rptp,receptor-type protein tyrosine phosphatase",0.2298666608670222,0.43401789210171654,0.3361154611047823,6
vdr,"vdr,vitamin d receptor",0.4572330415248871,0.5422733426094055,0.0004936134209856391,1
dnqx,"dnqx,6",0.03550054132938385,0.8986281156539917,0.06587130576372147,1
smp,"smp,schwann cell myelin pro- tein’",0.9982210993766785,0.00027814117493107915,0.001500824117101729,1
abl,"abl,abelson proto-  oncogene",0.9996204574902853,0.00016343450988642871,0.00021604011514379332,3
biop2,"biop2,biopap2",0.9993913173675537,0.0002527836477383971,0.0003558438620530069,1
pla2,"pla2,phospholipase a2",0.500232444377616,0.0009242210217053071,0.49884339049458504,2
tax1bp1,"tax1bp1,tax1-binding protein 1",0.33509087784720276,0.3317005303009258,0.3332085770768269,3
adam,"adam,a disintegrin and metalloprotease",0.23766778236313257,0.18598772431432736,0.5763445034826873,5
mops,"mops,morpholino)propanesulfonic acid,morpholino)propanesulfonic acid,4-morpholinepropanesulfonic acid",0.2465383420640137,0.727253342163749,0.026208314364339458,4
pal,"pal,peptidyl o-hydroxyglycine o-amidating lyase",0.06522083147733197,0.10979150848299579,0.8249876575472158,33
pak1,"pak1,p21- activated kinase 1",0.003090551355853677,0.9696463346481323,0.027263183146715164,1
ask1,"ask1,apoptosis signal regulating kinase 1,apoptosis signal-regulating kinase-1",0.22449831948615612,0.4461489401292056,0.32935274092014877,5
acs,"acs,adenylyl cyclases",0.4961371275753158,0.1707469084657431,0.3331159646137773,9
rhd,"rhd,reticulon hom- ology domain",0.9993582367897034,0.00011956302478211,0.0005221969331614673,1
p75ntr,"p75ntr,p75 neurotrophic receptor",0.8850757825422224,0.05170017111521557,0.06322404693165098,69
syn,"syn,synaptophysin,synaptophysin",0.1401458442062274,0.006620603061142342,0.853233536777015,13
peg,"peg,polyethylene glycol,poly(ethylene glycol)",0.3432660025820648,0.15381719263041305,0.502916800962339,24
rarb,"rarb,retinoic acid receptor beta",0.959674596786499,0.03939702734351158,0.0009284061379730701,1
shsocs3,"shsocs3,shrna targeting endogenous socs3",0.566035335228662,0.33113186703485553,0.10283277634880506,16
tmc,"tmc,trimethylene carbonate",0.33262185082033585,0.6661865536977226,0.0011915993721534808,3
biorp,"biorp,biotinylated rp",0.9207511842250824,0.0007797032740199938,0.0784690986329224,2
clasp2,"clasp2,cytoplasmic linker associated protein 2",0.7403599700358298,0.12569347811014658,0.13394652981826635,7
nim,"nim,neural induction medium",0.99861741065979,0.0002602760505396873,0.0011223158799111843,1
arrow,"arrow,are covered by their own base- ment membrane",0.17692790931576902,0.1567058501403023,0.6663662396311858,56
peo,"peo,(peg)/poly-ethylene oxide",0.010081746472178464,0.0062376433874273395,0.9836806038837674,449
dii,"dii,dimethylformamide",0.07139208201689114,0.4881197804185626,0.440488132327089,62
bsa,"bsa,bovine serum albumin,bovine serum albumin,bovine serum albumin,bovine serum albumin,bovine serum albumin",0.3498561195163347,0.49073056876222837,0.15941331251863933,60
fgf2,"fgf2,fibroblast growth factor 2",0.15136308348193692,0.5307233587373048,0.3179135523798842,105
nrn1,"nrn1,neuritin 1",0.6724952612479683,0.13438181359368692,0.19312291976426163,70
ptk,"ptk,protein tyrosine kinase",0.9904868006706238,0.0005392528837546706,0.008973978459835052,1
hrp,"hrp,horseradish peroxidase,horse-radish peroxidase,anti-horseradish peroxidase,horseradish peroxidase",0.2784982169922538,0.2395833453239036,0.4819184374136274,105
igg,"igg,horse-anti-mouse-immunoglobulin g,immunoglobulin g",0.28040597757556884,0.5574404892538147,0.16215352890972387,111
babb,"babb,benzoyl alcohol/benzoyl benzoate",0.0005632982174574863,0.3681249141615505,0.6313117740210146,6
dab,"dab,diaminobenzi­ dine,diaminobenzidine,3′-diaminobenzidine",0.33549824396996647,0.36182999312074604,0.3026717597035545,27
mif,"mif,macrophage inhibitory factor,macrophage in­ hibitory factor,macrophage inhibitory factor",0.20100233071410484,0.49148478919981725,0.3075128667238887,34
ach4,"ach4,and rag-specific histone 4 acetylation",0.5111732007935643,0.4851807860468398,0.0036459880793699995,2
mhc,"mhc,major histocompatibility complex",0.5880423761393383,0.2110117249346261,0.20094590260781003,104
hek293,"hek293,human embryonic kidney 293",0.3293051866003225,0.12988432319980348,0.5408105155511294,8
crmp,"crmp,collapsin response mediator protein",0.8098727402587732,0.11875358009516883,0.07137368770781904,6
bbb,"bbb,blood- brain barrier",0.1904866039979078,0.06994906076206894,0.7395643322368934,168
pge2,"pge2,prostaglandin e2",0.9669505953788757,0.028744997456669807,0.0043044243939220905,1
p5klf4,"p5klf4,p5 rgcs",0.16730982826993568,0.12450361757973125,0.7081865520978515,11
sema6,"sema6,semaphorin 6c/d",0.04019751772284508,0.9593737721443176,0.00042868053424172103,1
mmps,"mmps,matrix metalloproteinases,ma- trix metalloproteinases",0.6720218057052989,0.1353996596781144,0.1925785489665941,16
ros,"ros,reactive oxygen species,reactive oxygen species",0.10585182717345147,0.539704725312869,0.3544434534498688,33
camkii,"camkii,calcium/calmodulin-dependent kinase type ii",0.000235237879678607,0.9944114089012146,0.005353410262614489,1
ep,"ep,ependyma",0.309867639701406,0.20192663888228707,0.4882057196693495,10
lpa,"lpa,lysophosphatidic acid",0.13643242753624057,0.09048831355727144,0.7730792546647562,264
plexina4,"plexina4,(nrp-1)/plexina a4",0.7494291067123413,0.2482673612733682,0.002303571741019065,3
mapk1,"mapk1,mitogen-activated protein kinase 1",0.00040643481770530343,0.9945682287216187,0.00502535467967391,1
gale,"gale,galactocerebroside",0.5530278651403933,0.08951212225565541,0.3574599897101507,16
ngr3,"ngr3,nogo 66 receptor 3,nogo-66 receptor 3",0.8813058116907736,0.03056435418433726,0.08812982803647174,28
pkg,"pkg,protein kinase g",0.32052457456787425,0.34367405622227426,0.3358013858087361,3
postn,"postn,periostin",0.8686820920704902,0.12773023951155796,0.003587675847094423,56
rbd,"rbd,rho-binding domain",0.9990641474723816,0.00022745368187315762,0.000708394160028547,1
htk,"htk,herpes thymidine kinase",0.8100805779298147,0.016571552492678165,0.17334783618571237,3
trkb,"trkb,tropomyosin  receptor kinase b",0.7147212489913954,0.12513551707741044,0.16014322791045288,128
pla,"pla,poly(lactic acid)",0.14469923080750133,0.4730656642130436,0.3822351124478949,22
tmrd,"tmrd,tetramethylrhodamine dextran",0.36132483401646215,0.5334377701898726,0.1052373757896324,6
gpcrs,"gpcrs,g-protein coupled receptors",0.9838457107543945,0.0018315764609724283,0.014322700910270214,1
plla,"plla,poly(l-lactic acid)",0.6382010619078452,0.3464095767897864,0.015389390052102195,3
kpi,"kpi,kunitz-type protease inhibitor",0.35325733018107713,0.3976963778026402,0.24904627716168762,5
aqp9,"aqp9,aquaporin 9",0.08981436491012573,0.0005229380913078785,0.9096627831459045,1
hdms,"hdms,histone demethylases",0.003540514735504985,0.0010969957802444696,0.9953625202178955,1
nlcam,"nlcam,neurolin-like cell adhesion molecule",0.47305142879486084,0.4318782091140747,0.09507040679454803,1
psa,"psa,polysialic acid",0.7210898566991091,0.22898238374078314,0.04992776465535696,14
adifab,"adifab,acrylodan-labelled i-fabp",0.39781556320303935,0.0638175526401028,0.5383668728172779,2
phm,"phm,peptidylglycine o-hydroxylating mono- oxygenase",0.16645124487634652,0.00023414576996098427,0.8333146127794558,6
flg,"flg,fibroblast growth factor receptor 1",0.9994640946388245,0.00041456150938756764,0.00012136263103457168,1
trk,"trk,tyrosine receptor kinases,tropomyosin receptor kinase,tyro- sine kinase",0.735375062060131,0.14415190393756172,0.12047303387773302,103
igf1r,"igf1r,insulin-like growth factor 1 receptor",0.6069137907336632,0.2720634560219795,0.12102275091621612,22
rna,"rna,ribonucleic acid",0.5911816038362637,0.16170283568478316,0.24711556110151964,262
ppre,"ppre,ppar-responsive element",0.3337938787175437,0.08194774423019893,0.5842583732234821,1355
cmd,"cmd,cartilage matrix deficiency",0.00012879329369752668,8.899832755560055e-05,0.9997822642326355,2
limk1,"limk1,aav.limk1-shrna",0.5725091358147508,0.25308311816087764,0.17440774956328545,26
npt,"npt,neomycin phosphotransferase",0.0001270782231586054,9.304549894295633e-05,0.9997798800468445,1
brdu,"brdu,bromodeoxyuridine,5-bromo-deoxyuridine,bromodeoxyuridine,bromodeoxyuridine",0.308129943689039,0.3147094092752809,0.37716064806727445,128
ifnγ,"ifnγ,interferon-γ",0.8752499282360077,0.12330917858052999,0.0014408769347937778,5
hsyn,"hsyn,human-specific synaptophysin,human-specific synaptophysin",0.8705871105194092,0.12506207823753357,0.004350884817540646,1
tgf,"tgf,trans- forming growth factor",0.00418215271201916,0.4993855589843103,0.496432316780556,6
hap,"hap,horseradish peroxidase",0.00014327995450003073,0.00011518619794514962,0.9997414946556091,2
lhrh,"lhrh,luteinizing hormone- releasing hormone,luteinizing hormone-releasing hormone",0.1657375714996306,0.2922774154052604,0.5419850149191916,5
bzip,"bzip,basic region­ leucine zipper",0.34656778792850673,0.35952196625294164,0.293910300076407,7
itga7,"itga7,integrin alpha 7",0.9480194232680581,0.043413720253738575,0.008566857625158842,11
parv,"parv,parvalbumin",0.2102924313704924,0.1473113700296727,0.6423961830233955,21
cpe,"cpe,carboxypeptidase e",0.10007482469518436,0.04276184323056701,0.8571633319370449,7
map,"map,microtubule associated protein,mitogen-activated protein",0.24587201521554866,0.2029831029735942,0.5511448736738142,150
stat,"stat,signal transducer and activator of tran- scription",0.36285004069155546,0.34667698195044067,0.29047298975172453,25
tpa,"tpa,tumour promoting agent,tetradecanoyl phorbol acetate,type plasminogen activator",0.7847317606210709,0.006801815245125908,0.20846642408287153,4
cgrp,"cgrp,calcitonin gene-related peptide-,calcitonin gene related peptide,calcitonin gene related peptide",0.3655671432054739,0.34125978029094933,0.29317307750937865,55
gefs,"gefs,guanine exchange factors",0.6163157348831495,0.27792447339743376,0.1057597550097853,3
app,"app,amyloid precursor  protein",0.4917929520495818,0.1862658245014915,0.32194121921232804,95
klf4,"klf4,krüppel-like factor 4,kruppel-like factor 4",0.301394976946176,0.672273707997374,0.026331302633479936,20
mebr,"mebr,methyl bromide gas",0.4214195259225259,0.1612503066547409,0.417330157584729,12
s6k1,"s6k1,s6 kinase 1,s6 kinase 1",0.7727282842660838,0.12501686468734058,0.1022548395205299,47
fgfr,"fgfr,fgf receptor,fibroblast growth factor receptor,fgf receptors",0.10625858485727804,0.7056320507384953,0.18810935722358407,20
pcla,"pcla,poly(e-caprolactone)-block-poly(l- lactic acid-co-e-caprolactone)",0.2525913847804821,0.4804605968952687,0.2669480125134049,22
afgf,"afgf,acidic fi­ broblast growth factor,acidic fibroblast growth factor,acidic fibroblast growth factor",0.20109303651002441,0.5969827036929524,0.20192426763565485,9
mfps,"mfps,matrix-forming precursors",0.00012391529162414372,0.0016566746635362506,0.9982194304466248,1
jak,"jak,janus kinase",0.8674018532037735,0.12862022410020776,0.003977934866270516,6
pl,"pl,poly-l-lysine",0.2401968840419392,0.24135700720030032,0.5184461025621843,37
chabc,"chabc,chondroitinase-abc,chondroitinase abc,chondroitinase abc",0.607260064972407,0.22136615220196978,0.17137378179115065,164
tnfsf,"tnfsf,tumor necrosis factor superfamily",0.3142387469464059,0.3350186382045245,0.3507426259198433,9
dbi,"dbi,diazepam binding inhibitor",0.5116867395117879,0.48578799050301313,0.002525294868974015,2
gaba,"gaba,gamma-aminobutyric acid",0.2800461845095318,0.2921726643698397,0.4277811591443121,30
gfp,"gfp,green fluorescent protein,green fluorescent protein",0.33508546822039703,0.1985280882134582,0.46638644715528005,392
ae1,"ae1,acetylcholinestrase-1) (i–l",0.004224315285682678,0.9944596290588379,0.0013160615926608443,1
s1pr2,"s1pr2,sphingosine-1-phosphate receptor 2",0.8909600631661967,0.015544159845872358,0.09349579967701258,11
hdac6,"hdac6,histone deacetylase 6",0.2718031876817501,0.05776327788771596,0.670433534309268,3
ppp,"ppp,picropodophyllin",0.3835072153060537,0.11588425869103958,0.5006085145905672,8
alcam,"alcam,activated leucocyte cell adhesion molecule",0.4924253501618902,0.37124299366648,0.1363316766122201,3
rgm,"rgm,repulsive guidance molecule",0.44131540320813656,0.28553637438453733,0.2731482361268718,5
